#638K furnace 
#temperature
#time surf center
0	304 304
20	304	304
40	313	313
60	329	329
80	348	348
100	531	368
120	544	387
140	553	404
160	560	419
180	566	433
200	571	448
220	578	463
240	583	477
260	588	490
280	591	503
300	595	515
320	600	526
340	603	536
360	605	547
380	608	558
400	611	570
420	611	583
440	613	596
460	615	606
480	613	614
500	613	616
520	613	618
540	614	619
560	615	619
580	616	619
600	618	618
620	614	618
640	616	618
660	614	619
680	617	619
700	616	620
720	617	621
740	617	622
760	615	624
780	617	626
800	627	627
820	629	629
840	631	631
860	633	633
880	635	635
900	636	636
920	636	636
940	637	637
960	637	637
980	637	637
1000	637	637
1020	637	637
1040	636	636
1060	636	636
1080	635	635
1100	635	635
1120	634	634
1140	633	633
1160	633	633
1180	633	632
1200	632	632

