#mass drop Park
#time 633 683 736 783 831 879
0	1	1	1	1	1	1
40	0.994	0.994	0.993	0.986	0.98	0.954
80	0.99	0.988	0.976	0.923	0.861	0.765
120	0.985	0.973	0.927	0.804	0.699	0.576
160	0.98	0.942	0.832	0.659	0.541	0.423
200	0.971	0.891	0.714	0.508	0.402	0.296
240	0.953	0.814	0.584	0.354	0.299	0.216
280	0.925	0.718	0.452	0.286	0.227	0.179
320	0.882	0.608	0.36	0.226	0.191	0.173
360	0.823	0.513	0.292			0.171
400	0.757	0.43	0.258			
440	0.688	0.369	0.231			
480	0.626	0.325	0.218			
520	0.57	0.298	0.214			
560	0.513	0.282	0.211			
600	0.463	0.274	0.211			
640	0.423	0.266				
680	0.392	0.257				
720	0.366	0.254				
760	0.349	0.251				
800	0.34	0.248				
840	0.332	0.246				
880	0.328	0.244				
920	0.325	0.243				
960	0.324	0.245				
1000	0.321	0.242				

